zip_code_id,postal_code,city,county_name,state_id,state_name,timezone,longitude,population,latitude
2721,49099,White Pigeon,St. Joseph,MI,Michigan,America/Detroit,-85.6779,5477,41.79176
2722,49101,Baroda,Berrien,MI,Michigan,America/Detroit,-86.48285,3025,41.94283
2723,49102,Berrien Center,Berrien,MI,Michigan,America/Detroit,-86.26113,1699,41.9523
2724,49103,Berrien Springs,Berrien,MI,Michigan,America/Detroit,-86.37641,10612,41.94689
2725,49104,Berrien Springs,Berrien,MI,Michigan,America/Detroit,-86.35892,740,41.9637
2726,49106,Bridgman,Berrien,MI,Michigan,America/Detroit,-86.55149,4913,41.93763
2727,49107,Buchanan,Berrien,MI,Michigan,America/Detroit,-86.41375,10340,41.84571
2728,49111,Eau Claire,Berrien,MI,Michigan,America/Detroit,-86.28777,3613,42.02477
2729,49112,Edwardsburg,Cass,MI,Michigan,America/Detroit,-86.03353,9967,41.79758
2730,49113,Galien,Berrien,MI,Michigan,America/Detroit,-86.50089,1810,41.80233
